title,price,link,product_searched,store
Dettol Soap Cool 110gm - Pack of 3,Rs. 400,https://www.daraz.pk/products/dettol-soap-cool-110gm-pack-of-3-i892500867.html,Dettol Soap,Daraz
Safeguard Bath Soap Floral Scent 125gm,Rs. 148,https://www.daraz.pk/products/safeguard-bath-soap-floral-scent-125gm-i1302244.html,Dettol Soap,Daraz
Safeguard Bath Soap Pure White 125gm (Bundle of 3),Rs. 435,https://www.daraz.pk/products/safeguard-bath-soap-pure-white-125gm-bundle-of-3-i1302261.html,Dettol Soap,Daraz
Dettol Soap Original 110gm - Pack of 12,"Rs. 1,550",https://www.daraz.pk/products/dettol-soap-original-110gm-pack-of-12-i209164736.html,Dettol Soap,Daraz
Dettol Soap Cool 110gm - Pack of 4,Rs. 530,https://www.daraz.pk/products/dettol-soap-cool-110gm-pack-of-4-i4756972.html,Dettol Soap,Daraz
Capri Soap Family Pack Glow-Green 72x150g,Rs. 151,https://www.daraz.pk/products/capri-soap-family-pack-glow-green72x150g-i240647715.html,Dettol Soap,Daraz
N/A,Rs. 530,https://www.daraz.pk/products/dettol-soap-original-110gm-pack-of-4-i4756979.html,Dettol Soap,Daraz
FREE Dettol Soap Fresh 80gm with Dettol Soap Cool 110gm - Pack of 4,Rs. 587,https://www.daraz.pk/products/free-dettol-soap-fresh-80gm-with-dettol-soap-cool-110gm-pack-of-4-i214520989.html,Dettol Soap,Daraz
Lux Allure Bar White - 167G,Rs. 164,https://www.daraz.pk/products/lux-allure-bar-white-167g-i413143462.html,Dettol Soap,Daraz
Lux Allure Tangerine Soap - 128G,Rs. 150,https://www.daraz.pk/products/lux-allure-tangerine-soap-128g-i864012921.html,Dettol Soap,Daraz
Lux Allure Bar Fresh Splash - 128G,Rs. 142,https://www.daraz.pk/products/lux-allure-bar-fresh-splash-128g-i170646943.html,Dettol Soap,Daraz
Dettol Soap Skincare 80gm - Pack of 3,Rs. 275,https://www.daraz.pk/products/dettol-soap-skincare-80gm-pack-of-3-i4756973.html,Dettol Soap,Daraz
Lux Allure Bar Velvet Glow Soap - 128G,Rs. 150,https://www.daraz.pk/products/lux-allure-bar-velvet-glow-soap-128g-i215228922.html,Dettol Soap,Daraz
Dettol Soap Cool 110gm - Pack of 12,"Rs. 1,550",https://www.daraz.pk/products/dettol-soap-cool-110gm-pack-of-12-i422519280.html,Dettol Soap,Daraz
FREE Dettol Soap Fresh 80gm with Dettol Soap Original 110gm - Pack of 4,Rs. 580,https://www.daraz.pk/products/free-dettol-soap-fresh-80gm-with-dettol-soap-original-110gm-pack-of-4-i214519991.html,Dettol Soap,Daraz
Dettol Soap Original 80gm,Rs. 130,https://www.daraz.pk/products/dettol-soap-original-80gm-i143030859.html,Dettol Soap,Daraz
Chaseup Dettol Skincare Soap Promo Pack 4pcs 110gm,Rs. 560,https://www.daraz.pk/products/4-110-i884575031.html,Dettol Soap,Daraz
Neem Soap 100g,Rs. 124,https://www.daraz.pk/products/100-i383625256.html,Dettol Soap,Daraz
Dettol Original Soap 170gm,Rs. 186,https://www.daraz.pk/products/170-i885673083.html,Dettol Soap,Daraz
Chaseup DETTOL FRESH ANTIBACTERIAL BAR SOAP 110GM,Rs. 149,https://www.daraz.pk/products/110-i885384095.html,Dettol Soap,Daraz
Dettol Cool Soap 130gm,Rs. 149,https://www.daraz.pk/products/130-i885469806.html,Dettol Soap,Daraz
Lux Purple Lotus Beauty Soap - 128G,Rs. 142,https://www.daraz.pk/products/lux-purple-lotus-beauty-soap-128g-i215230739.html,Dettol Soap,Daraz
Chaseup Dettol Cool Soap 170gm,Rs. 186,https://www.daraz.pk/products/170-i885340274.html,Dettol Soap,Daraz
Chaseup Dettol Skincare Soap Promo Pack 80gm 3pcs,Rs. 402,https://www.daraz.pk/products/80-3-i885822322.html,Dettol Soap,Daraz
Dettol Cool Soap Promo Pack 3pcs 85gm,Rs. 380,https://www.daraz.pk/products/3-85-i887331738.html,Dettol Soap,Daraz
Chaseup DETTOL SOOTHE ANTIBACTERIAL BAR SOAP 160GM,Rs. 186,https://www.daraz.pk/products/160-i884176966.html,Dettol Soap,Daraz
Rano Kojic Acid Whitening Facial Soap 135gr | 7-Day Skin Lightening | For Sensitive & Oily Skin,Rs. 468,https://www.daraz.pk/products/-i767973828.html,Dettol Soap,Daraz
Dettol Soap Skin Care 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-skin-care-110g-369462,Dettol Soap,Imtiaz
Dettol Soap Skincare 170g,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-skincare-170g-366698,Dettol Soap,Imtiaz
Dettol Soap Soothe 170g,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-soothe-170g-366702,Dettol Soap,Imtiaz
Dettol Soap Original 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-80g-366695,Dettol Soap,Imtiaz
Dettol Soap Skin Care 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-skin-care-80g-366694,Dettol Soap,Imtiaz
Dettol Hand Soap Refill Original 150Ml,Rs. 235.00,https://shop.imtiaz.com.pk/product/dettol-hand-soap-refill-original-150ml-369483,Dettol Soap,Imtiaz
Dettol Soap Original 3x80g,Rs. 325.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-3x80g-365533,Dettol Soap,Imtiaz
Dettol Soap Soothe 85g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-soothe-85g-366697,Dettol Soap,Imtiaz
Dettol Soap Soothe 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-soothe-110g-369464,Dettol Soap,Imtiaz
Dettol Soap Cool 170G,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-170g-369466,Dettol Soap,Imtiaz
Dettol Soap Original 4x110g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-4x110g-365534,Dettol Soap,Imtiaz
Dettol Soap Cool 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-80g-366723,Dettol Soap,Imtiaz
Dettol Soap Cool 3x80,Rs. 325.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-3x80-365525,Dettol Soap,Imtiaz
Dettol Soap Cool 4x110g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-4x110g-366730,Dettol Soap,Imtiaz
Dettol Soap Fresh 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-fresh-110g-366716,Dettol Soap,Imtiaz
Dettol Soap Original 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-110g-366724,Dettol Soap,Imtiaz
Dettol Soap Original 170g,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-original-170g-365528,Dettol Soap,Imtiaz
Dettol Soap Cool 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-cool-110g-365532,Dettol Soap,Imtiaz
Dettol Soap Skincare 4x115g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-skincare-4x115g-370949,Dettol Soap,Imtiaz
Dettol Soap Fresh 4x110g,Rs. 495.00,https://shop.imtiaz.com.pk/product/dettol-soap-fresh-4x110g-369471,Dettol Soap,Imtiaz
Dettol Hand Soap Refill Skin Care 150Ml,Rs. 235.00,https://shop.imtiaz.com.pk/product/dettol-hand-soap-refill--skin-care-150ml-369484,Dettol Soap,Imtiaz
Dettol Soap Fresh 80g,Rs. 115.00,https://shop.imtiaz.com.pk/product/dettol-soap-fresh-80g-366701,Dettol Soap,Imtiaz
Dettol Soap Skin Care 110g,Rs. 135.00,https://shop.imtiaz.com.pk/product/dettol-soap-skin-care-110g-369462,Dettol Soap,Imtiaz
Dettol Soap Skincare 170g,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-skincare-170g-366698,Dettol Soap,Imtiaz
Dettol Soap Soothe 170g,Rs. 169.00,https://shop.imtiaz.com.pk/product/dettol-soap-soothe-170g-366702,Dettol Soap,Imtiaz
